"service_domain","service_group","service_name","is_clinical","is_malaria_related","include_in_analysis","country","needs_review","source_service_names"
"Support Services","Commodities and Supplies","Condoms",FALSE,FALSE,FALSE,"MWI",FALSE,"Condoms"
"Support Services","Commodities and Supplies","Cycle Beads",FALSE,FALSE,FALSE,"MWI",FALSE,"Cycle Beads"
"Support Services","Commodities and Supplies","DPT Vaccine",FALSE,FALSE,FALSE,"MWI",FALSE,"DPT Vaccine"
"Support Services","Commodities and Supplies","DPT-Hib + Hep B/Pentavalet vaccine",FALSE,FALSE,FALSE,"MWI",FALSE,"DPT-Hib + Hep B/Pentavalet vaccine"
"Support Services","Commodities and Supplies","Depoprovera",FALSE,FALSE,FALSE,"MWI",FALSE,"Depoprovera"
"Support Services","Commodities and Supplies","Dexamethasone injectable",FALSE,FALSE,FALSE,"MWI",FALSE,"Dexamethasone injectable"
"Support Services","Commodities and Supplies","Eye ointment",FALSE,FALSE,FALSE,"MWI",FALSE,"Eye ointment"
"Support Services","Commodities and Supplies","Fansidar for malaria prevention (IPT)",FALSE,TRUE,FALSE,"MWI",FALSE,"Fansidar for malaria prevention (IPT)"
"Support Services","Commodities and Supplies","Female condoms",FALSE,FALSE,FALSE,"MWI",FALSE,"Female condoms"
"Support Services","Commodities and Supplies","Folic acid supplimentation",FALSE,FALSE,FALSE,"MWI",FALSE,"Folic acid supplimentation"
"Support Services","Commodities and Supplies","Fortified Protein supplimentation",FALSE,FALSE,FALSE,"MWI",FALSE,"Fortified Protein supplimentation"
"Support Services","Commodities and Supplies","Gentamycin 10mg",FALSE,FALSE,FALSE,"MWI",FALSE,"Gentamycin 10mg"
"Support Services","Commodities and Supplies","Gentamycin injectable 20mg",FALSE,FALSE,FALSE,"MWI",FALSE,"Gentamycin injectable 20mg"
"Support Services","Commodities and Supplies","Gentamycin injectable 40mg",FALSE,FALSE,FALSE,"MWI",FALSE,"Gentamycin injectable 40mg"
"Support Services","Commodities and Supplies","Hydralazine",FALSE,FALSE,FALSE,"MWI",FALSE,"Hydralazine"
"Support Services","Commodities and Supplies","Implant",FALSE,FALSE,FALSE,"MWI",FALSE,"Implant"
"Support Services","Commodities and Supplies","Implants",FALSE,FALSE,FALSE,"MWI",FALSE,"Implants"
"Support Services","Commodities and Supplies","Inhalers",FALSE,FALSE,FALSE,"MWI",FALSE,"Inhalers"
"Support Services","Commodities and Supplies","Injectable Contraceptive",FALSE,FALSE,FALSE,"MWI",FALSE,"Injectable Contraceptive"
"Support Services","Commodities and Supplies","Intrauterine Device (IUCD)",FALSE,FALSE,FALSE,"MWI",FALSE,"Intrauterine Device (IUCD)"
"Support Services","Commodities and Supplies","Intrauterine Device (IUD)",FALSE,FALSE,FALSE,"MWI",FALSE,"Intrauterine Device (IUD)"
"Support Services","Commodities and Supplies","Iron Suppliment",FALSE,FALSE,FALSE,"MWI",FALSE,"Iron Suppliment"
"Support Services","Commodities and Supplies","Iron Supplimentation",FALSE,FALSE,FALSE,"MWI",FALSE,"Iron Supplimentation"
"Support Services","Commodities and Supplies","Levonorgestrel",FALSE,FALSE,FALSE,"MWI",FALSE,"Levonorgestrel"
"Support Services","Commodities and Supplies","Magnesium Sulphate",FALSE,FALSE,FALSE,"MWI",FALSE,"Magnesium Sulphate"
"Support Services","Commodities and Supplies","Magnesium sulphate",FALSE,FALSE,FALSE,"MWI",FALSE,"Magnesium sulphate"
"Support Services","Commodities and Supplies","Male condoms",FALSE,FALSE,FALSE,"MWI",FALSE,"Male condoms"
"Support Services","Commodities and Supplies","Measles vaccine",FALSE,FALSE,FALSE,"MWI",FALSE,"Measles vaccine"
"Support Services","Commodities and Supplies","Methyldopa",FALSE,FALSE,FALSE,"MWI",FALSE,"Methyldopa"
"Support Services","Commodities and Supplies","Metronidazole",FALSE,FALSE,FALSE,"MWI",FALSE,"Metronidazole"
"Support Services","Commodities and Supplies","Misoprostol",FALSE,FALSE,FALSE,"MWI",FALSE,"Misoprostol"
"Support Services","Commodities and Supplies","Nifedipe",FALSE,FALSE,FALSE,"MWI",FALSE,"Nifedipe"
"Support Services","Commodities and Supplies","ORS",FALSE,FALSE,FALSE,"MWI",FALSE,"ORS"
"Support Services","Commodities and Supplies","ORS provision",FALSE,FALSE,FALSE,"MWI",FALSE,"ORS provision"
"Support Services","Commodities and Supplies","Oral Contraceptives",FALSE,FALSE,FALSE,"MWI",FALSE,"Oral Contraceptives"
"Support Services","Commodities and Supplies","Oxytocin",FALSE,FALSE,FALSE,"MWI",FALSE,"Oxytocin"
"Support Services","Commodities and Supplies","Parentel oxytocin",FALSE,FALSE,FALSE,"MWI",FALSE,"Parentel oxytocin"
"Support Services","Commodities and Supplies","Peak flow meters",FALSE,FALSE,FALSE,"MWI",FALSE,"Peak flow meters"
"Support Services","Commodities and Supplies","Pill",FALSE,FALSE,FALSE,"MWI",FALSE,"Pill"
"Support Services","Commodities and Supplies","Pneumococcol vaccine",FALSE,FALSE,FALSE,"MWI",FALSE,"Pneumococcol vaccine"
"Support Services","Commodities and Supplies","Polio vaccine",FALSE,FALSE,FALSE,"MWI",FALSE,"Polio vaccine"
"Support Services","Commodities and Supplies","Polio vaccine diluent",FALSE,FALSE,FALSE,"MWI",FALSE,"Polio vaccine diluent"
"Support Services","Commodities and Supplies","Progesterone only injectable",FALSE,FALSE,FALSE,"MWI",FALSE,"Progesterone only injectable"
"Support Services","Commodities and Supplies","Progesterone oral Contraceptive",FALSE,FALSE,FALSE,"MWI",FALSE,"Progesterone oral Contraceptive"
"Support Services","Commodities and Supplies","Rotavirus",FALSE,FALSE,FALSE,"MWI",FALSE,"Rotavirus"
"Support Services","Commodities and Supplies","Rotavirus Vaccine",FALSE,FALSE,FALSE,"MWI",FALSE,"Rotavirus Vaccine"
"Support Services","Commodities and Supplies","Sodium chloride injection solution",FALSE,FALSE,FALSE,"MWI",FALSE,"Sodium chloride injection solution"
"Support Services","Commodities and Supplies","Tetanus Toxoid",FALSE,FALSE,FALSE,"MWI",FALSE,"Tetanus Toxoid"
"Support Services","Commodities and Supplies","Ulipristal Acetate",FALSE,FALSE,FALSE,"MWI",FALSE,"Ulipristal Acetate"
"Support Services","Commodities and Supplies","ZINC",FALSE,FALSE,FALSE,"MWI",FALSE,"ZINC"
"Support Services","Commodities and Supplies","Zinc supplimentation",FALSE,FALSE,FALSE,"MWI",FALSE,"Zinc supplimentation"
"Support Services","Equipment and Infrastructure","Assay kit for CD4 count testing",FALSE,FALSE,FALSE,"MWI",FALSE,"Assay kit for CD4 count testing"
"Support Services","Equipment and Infrastructure","Auto disposable Syringes",FALSE,FALSE,FALSE,"MWI",FALSE,"Auto disposable Syringes"
"Support Services","Equipment and Infrastructure","Auto disposable syringes",FALSE,FALSE,FALSE,"MWI",FALSE,"Auto disposable syringes"
"Support Services","Equipment and Infrastructure","Auto-disable syringes",FALSE,FALSE,FALSE,"MWI",FALSE,"Auto-disable syringes"
"Support Services","Equipment and Infrastructure","Bin",FALSE,FALSE,FALSE,"MWI",FALSE,"Bin"
"Support Services","Equipment and Infrastructure","Biochemistry analyser for kidney and liver function",FALSE,FALSE,FALSE,"MWI",FALSE,"Biochemistry analyser for kidney and liver function"
"Support Services","Equipment and Infrastructure","Centrifuge",FALSE,FALSE,FALSE,"MWI",FALSE,"Centrifuge"
"Support Services","Equipment and Infrastructure","Centrifuge and cross match",FALSE,FALSE,FALSE,"MWI",FALSE,"Centrifuge and cross match"
"Support Services","Equipment and Infrastructure","Disinfectant",FALSE,FALSE,FALSE,"MWI",FALSE,"Disinfectant"
"Support Services","Equipment and Infrastructure","Disposable gloves",FALSE,FALSE,FALSE,"MWI",FALSE,"Disposable gloves"
"Support Services","Equipment and Infrastructure","Disposable syringes",FALSE,FALSE,FALSE,"MWI",FALSE,"Disposable syringes"
"Support Services","Equipment and Infrastructure","Feeding tubes",FALSE,FALSE,FALSE,"MWI",FALSE,"Feeding tubes"
"Support Services","Equipment and Infrastructure","Fluorescence microscope available and functional",FALSE,FALSE,FALSE,"MWI",FALSE,"Fluorescence microscope available and functional"
"Support Services","Equipment and Infrastructure","Functional ECG",FALSE,FALSE,FALSE,"MWI",FALSE,"Functional ECG"
"Support Services","Equipment and Infrastructure","Functional assay automated systems for HIV viral load",FALSE,FALSE,FALSE,"MWI",FALSE,"Functional assay automated systems for HIV viral load"
"Support Services","Equipment and Infrastructure","Functional biochemistry analyzer",FALSE,FALSE,FALSE,"MWI",FALSE,"Functional biochemistry analyzer"
"Support Services","Equipment and Infrastructure","Functional diagnostic centrifuge",FALSE,FALSE,FALSE,"MWI",FALSE,"Functional diagnostic centrifuge"
"Support Services","Equipment and Infrastructure","Functional haematology analyzer",FALSE,FALSE,FALSE,"MWI",FALSE,"Functional haematology analyzer"
"Support Services","Equipment and Infrastructure","Glass slides and cover slips",FALSE,FALSE,FALSE,"MWI",FALSE,"Glass slides and cover slips"
"Support Services","Equipment and Infrastructure","Glucometer",FALSE,FALSE,FALSE,"MWI",FALSE,"Glucometer"
"Support Services","Equipment and Infrastructure","Glucometer test strips",FALSE,FALSE,FALSE,"MWI",FALSE,"Glucometer test strips"
"Support Services","Equipment and Infrastructure","Hand sanitiser",FALSE,FALSE,FALSE,"MWI",FALSE,"Hand sanitiser"
"Support Services","Equipment and Infrastructure","Hand washing soap",FALSE,FALSE,FALSE,"MWI",FALSE,"Hand washing soap"
"Support Services","Equipment and Infrastructure","Hand waship soap",FALSE,FALSE,FALSE,"MWI",FALSE,"Hand waship soap"
"Support Services","Equipment and Infrastructure","Laptop for mtb testing",FALSE,FALSE,FALSE,"MWI",FALSE,"Laptop for mtb testing"
"Support Services","Equipment and Infrastructure","Medical devices",FALSE,FALSE,FALSE,"MWI",FALSE,"Medical devices"
"Support Services","Equipment and Infrastructure","Needle holders",FALSE,FALSE,FALSE,"MWI",FALSE,"Needle holders"
"Support Services","Equipment and Infrastructure","Neonatal sucntion bulb single use/multiuse",FALSE,FALSE,FALSE,"MWI",FALSE,"Neonatal sucntion bulb single use/multiuse"
"Support Services","Equipment and Infrastructure","Pipettes",FALSE,FALSE,FALSE,"MWI",FALSE,"Pipettes"
"Support Services","Equipment and Infrastructure","Power source",FALSE,FALSE,FALSE,"MWI",FALSE,"Power source"
"Support Services","Equipment and Infrastructure","Reagent for FBC",FALSE,FALSE,FALSE,"MWI",FALSE,"Reagent for FBC"
"Support Services","Equipment and Infrastructure","Refridgerator",FALSE,FALSE,FALSE,"MWI",FALSE,"Refridgerator"
"Support Services","Equipment and Infrastructure","Refridgerator temperature monitoring",FALSE,FALSE,FALSE,"MWI",FALSE,"Refridgerator temperature monitoring"
"Support Services","Equipment and Infrastructure","Refrigerator for storing blood",FALSE,FALSE,FALSE,"MWI",FALSE,"Refrigerator for storing blood"
"Support Services","Equipment and Infrastructure","Retractor",FALSE,FALSE,FALSE,"MWI",FALSE,"Retractor"
"Support Services","Equipment and Infrastructure","Running water",FALSE,FALSE,FALSE,"MWI",FALSE,"Running water"
"Support Services","Equipment and Infrastructure","Shaprs Container",FALSE,FALSE,FALSE,"MWI",FALSE,"Shaprs Container"
"Support Services","Equipment and Infrastructure","Sharp container",FALSE,FALSE,FALSE,"MWI",FALSE,"Sharp container"
"Support Services","Equipment and Infrastructure","Skin disinfectant",FALSE,FALSE,FALSE,"MWI",FALSE,"Skin disinfectant"
"Support Services","Equipment and Infrastructure","Sucntion bulb single use",FALSE,FALSE,FALSE,"MWI",FALSE,"Sucntion bulb single use"
"Support Services","Equipment and Infrastructure","Suction Pump and catheter",FALSE,FALSE,FALSE,"MWI",FALSE,"Suction Pump and catheter"
"Support Services","Equipment and Infrastructure","Sunction bulb multiuse",FALSE,FALSE,FALSE,"MWI",FALSE,"Sunction bulb multiuse"
"Support Services","Equipment and Infrastructure","Surgical Blades",FALSE,FALSE,FALSE,"MWI",FALSE,"Surgical Blades"
"Support Services","Equipment and Infrastructure","Surgical Scissors",FALSE,FALSE,FALSE,"MWI",FALSE,"Surgical Scissors"
"Support Services","Equipment and Infrastructure","Tourniquet",FALSE,FALSE,FALSE,"MWI",FALSE,"Tourniquet"
"Support Services","Equipment and Infrastructure","Vaccine storage",FALSE,FALSE,FALSE,"MWI",FALSE,"Vaccine storage"
"Support Services","Guidelines and Job Aids","ANC guidelines",FALSE,FALSE,FALSE,"MWI",FALSE,"ANC guidelines"
"Support Services","Guidelines and Job Aids","ANC job aid",FALSE,FALSE,FALSE,"MWI",FALSE,"ANC job aid"
"Support Services","Guidelines and Job Aids","Cardiovascular disease management guidelines",FALSE,FALSE,FALSE,"MWI",FALSE,"Cardiovascular disease management guidelines"
"Support Services","Guidelines and Job Aids","Guidleines for Management of Obstetric Complications",FALSE,FALSE,FALSE,"MWI",FALSE,"Guidleines for Management of Obstetric Complications"
"Support Services","Guidelines and Job Aids","Guidleines for blood transfusion",FALSE,FALSE,FALSE,"MWI",FALSE,"Guidleines for blood transfusion"
"Support Services","Guidelines and Job Aids","HIV-AIDS national guidelines",FALSE,FALSE,FALSE,"MWI",FALSE,"HIV-AIDS national guidelines"
"Support Services","Guidelines and Job Aids","IMCI Guidelines",FALSE,FALSE,FALSE,"MWI",FALSE,"IMCI Guidelines"
"Support Services","Guidelines and Job Aids","IPT guidelines",FALSE,FALSE,FALSE,"MWI",FALSE,"IPT guidelines"
"Support Services","Guidelines and Job Aids","Infant and young child feeding last 2 years",FALSE,FALSE,FALSE,"MWI",FALSE,"Infant and young child feeding last 2 years"
"Support Services","Guidelines and Job Aids","MDR TB guidelines",FALSE,FALSE,FALSE,"MWI",FALSE,"MDR TB guidelines"
"Support Services","Guidelines and Job Aids","National ART guidelines",FALSE,FALSE,FALSE,"MWI",FALSE,"National ART guidelines"
"Support Services","Guidelines and Job Aids","National STI guidelines",FALSE,FALSE,FALSE,"MWI",FALSE,"National STI guidelines"
"Support Services","Guidelines and Job Aids","National guidelines for Cervical cancer",FALSE,FALSE,FALSE,"MWI",FALSE,"National guidelines for Cervical cancer"
"Support Services","Guidelines and Job Aids","National guidelines for Surgical care",FALSE,FALSE,FALSE,"MWI",FALSE,"National guidelines for Surgical care"
"Support Services","Guidelines and Job Aids","National guidelines for TB- MDR",FALSE,FALSE,FALSE,"MWI",FALSE,"National guidelines for TB- MDR"
"Support Services","Guidelines and Job Aids","Obstetric Guidelines",FALSE,FALSE,FALSE,"MWI",FALSE,"Obstetric Guidelines"
"Support Services","Guidelines and Job Aids","Obstetric Job aid",FALSE,FALSE,FALSE,"MWI",FALSE,"Obstetric Job aid"
"Support Services","Guidelines and Job Aids","Obstetrics Job aid in maternal and neonatal care",FALSE,FALSE,FALSE,"MWI",FALSE,"Obstetrics Job aid in maternal and neonatal care"
"Support Services","Guidelines and Job Aids","Palliative care guidelines",FALSE,FALSE,FALSE,"MWI",FALSE,"Palliative care guidelines"
"Support Services","Guidelines and Job Aids","TB Guideliness",FALSE,FALSE,FALSE,"MWI",FALSE,"TB Guideliness"
"Support Services","Guidelines and Job Aids","TB infection control guidelines",FALSE,FALSE,FALSE,"MWI",FALSE,"TB infection control guidelines"
"Support Services","Staff Training Records","IMEESC trained staff",FALSE,FALSE,FALSE,"MWI",FALSE,"IMEESC trained staff"
"Support Services","Staff Training Records","Staff trained  in vaccine management",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained  in vaccine management"
"Support Services","Staff Training Records","Staff trained in  management of complicated Obstetric Cases",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained in  management of complicated Obstetric Cases"
"Support Services","Staff Training Records","Staff trained in ANC last 2 years",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained in ANC last 2 years"
"Support Services","Staff Training Records","Staff trained in ART in last 2 years",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained in ART in last 2 years"
"Support Services","Staff Training Records","Staff trained in Caesarain section",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained in Caesarain section"
"Support Services","Staff Training Records","Staff trained in Cervical cancer prevention and control",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained in Cervical cancer prevention and control"
"Support Services","Staff Training Records","Staff trained in HIV-AIDS clinical management",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained in HIV-AIDS clinical management"
"Support Services","Staff Training Records","Staff trained in HIV-AIDS prevention",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained in HIV-AIDS prevention"
"Support Services","Staff Training Records","Staff trained in HIV-TB coinfection",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained in HIV-TB coinfection"
"Support Services","Staff Training Records","Staff trained in IPT last 2 years",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained in IPT last 2 years"
"Support Services","Staff Training Records","Staff trained in MDR TB",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained in MDR TB"
"Support Services","Staff Training Records","Staff trained in PMTCT last 2 years",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained in PMTCT last 2 years"
"Support Services","Staff Training Records","Staff trained in STI diagnosis and management",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained in STI diagnosis and management"
"Support Services","Staff Training Records","Staff trained in STI last 2 years",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained in STI last 2 years"
"Support Services","Staff Training Records","Staff trained in TB Infection control",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained in TB Infection control"
"Support Services","Staff Training Records","Staff trained in TB Management",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained in TB Management"
"Support Services","Staff Training Records","Staff trained in TB Treatment",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained in TB Treatment"
"Support Services","Staff Training Records","Staff trained in VCT",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained in VCT"
"Support Services","Staff Training Records","Staff trained in anaesthesia",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained in anaesthesia"
"Support Services","Staff Training Records","Staff trained in blood transfusion last 2 years",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained in blood transfusion last 2 years"
"Support Services","Staff Training Records","Staff trained in cardiovascular diseases",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained in cardiovascular diseases"
"Support Services","Staff Training Records","Staff trained in disease surveillance",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained in disease surveillance"
"Support Services","Staff Training Records","Staff trained in infant and young child feeding last 2 years",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained in infant and young child feeding last 2 years"
"Support Services","Staff Training Records","Staff trained in injection safety",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained in injection safety"
"Support Services","Staff Training Records","Staff trained in surgery",FALSE,FALSE,FALSE,"MWI",FALSE,"Staff trained in surgery"
"Support Services","Staff Training Records","staff trained in monitoring",FALSE,FALSE,FALSE,"MWI",FALSE,"staff trained in monitoring"
"Support Services","Supply Chain Records","BCG vaccine stock out",FALSE,FALSE,FALSE,"MWI",FALSE,"BCG vaccine stock out"
"Support Services","Supply Chain Records","Blood stock outs",FALSE,FALSE,FALSE,"MWI",FALSE,"Blood stock outs"
"Support Services","Supply Chain Records","Days with stock out",FALSE,FALSE,FALSE,"MWI",FALSE,"Days with stock out"
"Support Services","Supply Chain Records","Measles vaccine stock out",FALSE,FALSE,FALSE,"MWI",FALSE,"Measles vaccine stock out"
"Support Services","Supply Chain Records","Pentavalet vaccine stock out",FALSE,FALSE,FALSE,"MWI",FALSE,"Pentavalet vaccine stock out"
"Support Services","Supply Chain Records","Penuomoccocal vaccine stock out",FALSE,FALSE,FALSE,"MWI",FALSE,"Penuomoccocal vaccine stock out"
"Support Services","Supply Chain Records","Polio vaccine stock out",FALSE,FALSE,FALSE,"MWI",FALSE,"Polio vaccine stock out"
"Support Services","Supply Chain Records","RDTS stock out",FALSE,TRUE,FALSE,"MWI",FALSE,"RDTS stock out"
"Support Services","Supply Chain Records","Rota vaccine stock out",FALSE,FALSE,FALSE,"MWI",FALSE,"Rota vaccine stock out"
"Support Services","Support Services","Acredited microscopist",FALSE,FALSE,FALSE,"MWI",FALSE,"Acredited microscopist"
"Support Services","Support Services","Anaesthetist",FALSE,FALSE,FALSE,"MWI",FALSE,"Anaesthetist"
"Support Services","Support Services","Ash Pit",FALSE,FALSE,FALSE,"TZA",FALSE,"Ash Pit"
"Support Services","Support Services","Dispensing room",FALSE,FALSE,FALSE,"MWI",FALSE,"Dispensing room"
"Support Services","Support Services","Female Staff Toilets (2WCs)",FALSE,FALSE,FALSE,"TZA",FALSE,"Female Staff Toilets (2WCs)"
"Support Services","Support Services","Incinerator",FALSE,FALSE,FALSE,"TZA",FALSE,"Incinerator"
"Support Services","Support Services","Kitchen Services",FALSE,FALSE,FALSE,"TZA",FALSE,"Kitchen Services"
"Support Services","Support Services","Laundry Services",FALSE,FALSE,FALSE,"TZA",FALSE,"Laundry Services"
"Support Services","Support Services","Male Staff Toilets (2WCs)",FALSE,FALSE,FALSE,"TZA",FALSE,"Male Staff Toilets (2WCs)"
"Support Services","Support Services","Maternal Deaths",FALSE,FALSE,FALSE,"MWI",FALSE,"Maternal Deaths"
"Support Services","Support Services","Mortuary Services",FALSE,FALSE,FALSE,"TZA",FALSE,"Mortuary Services"
"Support Services","Support Services","Office for In-Charge Officer",FALSE,FALSE,FALSE,"TZA",FALSE,"Office for In-Charge Officer"
"Support Services","Support Services","Outside pit Latrine",FALSE,FALSE,FALSE,"TZA",FALSE,"Outside pit Latrine"
"Support Services","Support Services","Parking for cars, bicycles",FALSE,FALSE,FALSE,"TZA",FALSE,"Parking for cars, bicycles"
"Support Services","Support Services","Pharmacy",FALSE,FALSE,FALSE,"MWI",FALSE,"Pharmacy"
"Support Services","Support Services","Placenta Pit",FALSE,FALSE,FALSE,"TZA",FALSE,"Placenta Pit"
"Support Services","Support Services","Security Services",FALSE,FALSE,FALSE,"TZA",FALSE,"Security Services"
"Support Services","Support Services","Skilled vaccine  providers",FALSE,FALSE,FALSE,"MWI",FALSE,"Skilled vaccine  providers"
"Support Services","Support Services","Store room",FALSE,FALSE,FALSE,"TZA",FALSE,"Store room"
"Support Services","Support Services","Successiful Deliveries",FALSE,FALSE,FALSE,"MWI",FALSE,"Successiful Deliveries"
"Support Services","Support Services","Toilets for Male Patients",FALSE,FALSE,FALSE,"TZA",FALSE,"Toilets for Male Patients"
"Support Services","Support Services","Toilets for Male Staff",FALSE,FALSE,FALSE,"TZA",FALSE,"Toilets for Male Staff"
"Support Services","Support Services","Toilets for female patients",FALSE,FALSE,FALSE,"TZA",FALSE,"Toilets for female patients"
"Support Services","Support Services","Toilets for female staff",FALSE,FALSE,FALSE,"TZA",FALSE,"Toilets for female staff"
"Support Services","Support Services","Wash Slab",FALSE,FALSE,FALSE,"TZA",FALSE,"Wash Slab"
"Support Services","Support Services","Waste Storage Bay",FALSE,FALSE,FALSE,"TZA",FALSE,"Waste Storage Bay"
"Support Services","Support Services",NA,FALSE,FALSE,FALSE,"TZA",FALSE,"NA"
"Support Services","Therapeutics and Pharmacy","Adult ART - Adult ART Only",TRUE,FALSE,TRUE,"TZA",FALSE,"Adult ART - Adult ART Only"
"Support Services","Therapeutics and Pharmacy","Both Adult and Pediatric",TRUE,FALSE,TRUE,"TZA",FALSE,"Both Adult and Pediatric"
"Support Services","Therapeutics and Pharmacy","Community Mobilization",TRUE,FALSE,TRUE,"TZA",FALSE,"Community Mobilization"
"Support Services","Therapeutics and Pharmacy","Dispensing Room",FALSE,FALSE,FALSE,"TZA",FALSE,"Dispensing Room"
"Support Services","Therapeutics and Pharmacy","HBC - Home and Community Based Care",TRUE,FALSE,TRUE,"TZA",FALSE,"HBC - Home and Community Based Care"
"Support Services","Therapeutics and Pharmacy","HIV/AIDS Care and Treatment",TRUE,FALSE,TRUE,"TZA",FALSE,"HIV/AIDS Care and Treatment"
"Support Services","Therapeutics and Pharmacy","Health promoting hospital innitiative",TRUE,FALSE,TRUE,"TZA",FALSE,"Health promoting hospital innitiative"
"Support Services","Therapeutics and Pharmacy","Pharmacy",FALSE,FALSE,FALSE,"TZA",FALSE,"Pharmacy"
